OTU ID	SRR6286327	SRR6286328	SRR6286329	SRR6286330	SRR6286331	SRR6286332	SRR6286333	SRR6286334	SRR6286335	SRR6286336	SRR6286337	SRR6286338	SRR6286339	SRR6286340	SRR6286341	SRR6286342	SRR6286343	SRR6286344	SRR6286345	SRR6286346	SRR6286347	SRR6286348	SRR6286349	SRR6286350
Asv2922	12	1	2	0	0	9	0	12	17	2	8	1	11	1	0	0	0	0	1	0	4	13	0	10
Asv2923	0	2	0	16	31	0	24	0	0	0	0	1	0	1	3	10	4	4	0	12	0	0	1	0
Asv2924	1	11	10	15	8	1	13	1	1	25	2	22	3	9	13	9	8	4	17	12	23	1	14	2
Asv2925	0	6	1	3	4	6	1	4	2	4	3	12	5	4	2	2	1	3	6	1	10	4	11	3
Asv2926	4	14	4	13	12	4	7	6	7	8	2	11	2	10	13	6	4	2	10	10	10	2	17	4
Asv2927	7	2	1	7	4	5	2	3	2	3	0	1	6	2	4	7	2	1	4	5	0	8	3	5
Asv2928	4	9	9	0	0	4	1	4	4	26	8	37	3	17	0	0	0	0	45	0	28	4	20	7
Asv2929	4	41	32	22	33	4	11	3	6	32	0	53	7	34	9	19	2	3	52	15	32	13	55	8
Asv293	122	101	81	44	33	109	14	69	94	103	80	105	107	74	18	27	7	10	100	8	124	167	124	127
Asv2930	16	0	0	0	2	10	0	15	14	0	5	1	14	0	0	0	0	2	2	0	0	23	0	16
Asv2931	1	1	2	16	11	0	5	0	0	4	1	0	0	2	11	5	4	10	5	9	0	2	0	0
Asv2932	18	15	10	1	0	16	1	15	16	11	11	5	22	7	4	1	0	0	18	0	22	29	20	25
Asv2933	0	1	0	4	1	0	15	0	1	2	0	3	1	4	0	0	11	19	9	14	0	1	0	0
Asv2934	1	5	4	0	0	0	0	0	0	17	0	17	2	5	0	0	0	1	11	0	14	0	13	0
Asv2935	17	2	1	0	0	23	0	18	14	2	16	1	16	1	1	0	0	0	3	0	0	29	0	17
Asv2936	4	2	1	2	1	1	3	27	29	1	17	2	23	5	0	1	1	3	6	3	1	11	0	6
Asv2937	5	17	3	17	15	2	19	2	2	13	3	11	7	9	7	7	9	15	11	12	5	3	8	5
Asv2938	2	2	0	0	0	0	0	2	7	20	1	16	4	12	0	0	0	0	23	0	4	4	3	7
Asv2939	1	6	3	17	12	4	3	3	1	6	1	4	2	5	6	9	4	1	8	3	6	3	3	4
Asv294	177	0	0	0	0	166	0	207	282	0	128	0	238	0	0	0	0	0	0	0	0	239	1	173
Asv2940	0	3	6	0	0	0	0	0	0	13	0	16	0	10	0	0	0	0	33	0	5	0	3	0
Asv2941	7	3	2	0	0	3	0	3	4	4	2	9	2	10	0	0	0	0	20	0	5	9	8	8
Asv2942	17	0	1	0	0	8	0	9	21	1	11	0	24	1	0	0	0	0	2	0	2	32	0	34
Asv2943	0	7	6	0	0	0	0	0	0	26	0	16	0	7	0	0	0	0	28	0	14	0	13	0
Asv2944	4	5	1	0	0	2	1	8	4	0	4	6	6	2	0	0	0	1	10	1	14	24	10	10
Asv2945	0	3	1	0	0	0	1	3	1	17	1	13	5	9	0	0	0	0	12	0	2	3	3	2
Asv2946	0	0	1	1	7	0	6	0	0	4	0	4	0	3	7	5	11	13	2	11	2	0	2	0
Asv2947	19	1	0	0	0	18	0	5	22	0	5	0	11	0	0	1	0	1	1	3	0	17	0	8
Asv2948	0	2	1	11	5	0	5	2	0	1	0	3	0	2	4	6	1	4	2	4	0	0	2	0
Asv2949	17	12	5	3	4	19	3	8	7	8	4	17	11	15	4	0	1	2	16	1	12	23	18	17
Asv295	167	22	19	2	3	110	0	171	203	34	98	34	190	33	0	1	0	3	53	0	26	309	19	216
Asv2950	2	0	0	0	2	3	4	18	29	5	11	3	25	3	0	1	5	5	2	10	1	1	1	1
Asv2951	8	23	12	6	8	13	2	12	18	12	2	13	15	12	6	9	4	6	36	4	15	47	22	34
Asv2952	9	5	5	1	2	10	2	15	11	7	7	8	15	6	1	2	6	4	9	3	9	7	6	6
Asv2953	0	0	1	16	13	0	14	0	0	1	0	1	0	0	5	10	9	15	2	10	0	0	2	0
Asv2954	1	2	1	10	14	0	14	0	3	3	2	4	1	2	10	11	13	10	1	17	1	4	5	1
Asv2955	6	2	1	4	4	2	1	2	4	2	1	2	3	0	7	8	2	1	3	2	2	9	4	10
Asv2956	0	5	4	12	12	1	5	0	0	3	0	3	1	0	2	3	7	7	3	10	6	0	3	3
Asv2957	18	0	0	0	0	11	0	5	13	0	7	0	10	0	0	0	0	0	0	0	0	21	0	11
Asv2958	0	3	1	16	6	0	21	0	0	2	0	2	0	1	10	6	8	6	2	22	5	0	4	0
Asv2959	0	0	0	5	3	0	4	0	0	0	0	0	0	0	10	20	10	12	0	10	0	0	0	0
Asv296	53	108	58	1	2	53	2	63	98	115	52	146	75	135	0	0	2	1	223	1	128	116	99	91
Asv2960	1	0	1	0	2	0	5	13	27	2	9	2	31	5	0	0	8	4	4	7	1	0	0	0
Asv2961	0	1	0	1	1	0	5	0	0	16	1	25	1	20	0	0	7	8	31	13	1	0	0	0
Asv2962	14	6	2	1	1	11	0	3	8	3	4	12	11	4	4	0	0	0	11	1	13	30	9	33
Asv2963	4	5	2	5	10	0	2	1	2	4	1	4	3	4	5	5	0	3	6	3	6	3	5	4
Asv2964	0	0	0	14	17	0	6	0	0	0	0	0	0	0	18	16	8	12	0	6	0	0	0	0
Asv2965	0	9	8	1	1	0	0	0	0	11	0	21	0	10	0	0	0	1	22	1	12	0	11	0
Asv2966	0	0	0	4	3	0	17	0	0	3	0	1	0	0	7	0	15	15	0	22	0	0	0	0
Asv2967	1	20	7	5	10	1	4	1	0	4	1	4	2	7	8	7	5	10	10	7	17	5	8	2
Asv2968	3	1	1	16	18	2	6	4	3	2	1	4	2	3	10	9	14	9	5	10	2	2	2	0
Asv2969	0	0	0	5	1	0	5	0	0	0	0	1	0	0	2	3	11	15	0	14	0	0	0	0
Asv297	195	43	20	1	1	210	1	115	129	44	78	64	135	29	0	0	0	0	52	1	65	294	58	171
Asv2970	2	8	2	15	12	1	6	2	2	2	0	0	0	0	10	3	4	7	8	4	5	1	2	1
Asv2971	4	5	1	7	5	2	0	4	3	3	7	0	4	1	5	2	2	3	1	1	2	6	7	9
Asv2972	7	19	14	0	0	3	0	3	3	26	2	38	1	22	0	0	0	0	32	0	29	3	14	5
Asv2973	0	0	1	3	2	1	0	12	15	2	7	4	12	1	0	0	3	1	2	4	3	4	0	0
Asv2974	0	0	0	9	12	0	4	0	0	0	0	1	0	0	13	13	7	9	1	7	0	0	0	0
Asv2975	16	5	2	0	0	19	0	22	17	4	7	1	29	0	0	0	0	0	3	0	2	37	1	15
