ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv1546	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1547	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
Asv1545	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1549	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1550	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			
Asv1551	Bacteria	Cyanobacteria						
Asv1552	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1553	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1554	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1555	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv1548	Bacteria	Proteobacteria	Gammaproteobacteria					
Asv1556	Bacteria	Proteobacteria	Betaproteobacteria					
Asv1557	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1558	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
Asv1561	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
Asv1562	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
Asv1560	Bacteria	Cyanobacteria						
Asv1563	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1559	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			
Asv1564	Bacteria	Proteobacteria	Betaproteobacteria					
Asv1566	Bacteria	Cyanobacteria						
Asv1565	Bacteria	Proteobacteria	Betaproteobacteria					
Asv1568	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1569	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1571	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1572	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1570	Bacteria							
Asv1567	Bacteria	Cyanobacteria						
